,0,1,2,3,4,5,6,7,8,9,10,11
255,124,6,876,1906,6375.226,74,0,26,0,1,45,-1
256,124,7,1200,2955,6161.0,130,9,24,113,56,17,58
257,124,8,900,417,6113.149,74,7,35,129,12,1,62
258,124,9,1043,3301,5929.8369999999995,97,29,51,163,0,25,-1
259,124,10,727,2145,5414.236999999999,13,18,47,171,45,48,38
260,124,11,763,1817,5406.585,86,26,4,0,23,1,-1
261,124,12,328,831,5298.729,42,79,55,159,0,0,-1
262,124,13,801,2244,5255.125,106,13,37,1,0,49,-1
263,124,14,259,1350,5035.076,119,0,0,0,0,0,62
264,124,15,311,3136,5022.795,24,39,41,147,0,47,58
265,124,16,563,1975,4901.429,108,0,77,159,0,0,58
266,124,17,1071,489,4643.285,85,11,8,139,0,0,62
267,124,18,261,2553,4426.602,51,55,79,132,2,18,38
268,124,19,133,1381,4374.498,86,0,0,0,0,0,-1
269,124,20,961,524,4305.146,83,38,23,0,0,48,62
270,124,21,1186,2852,4018.24,13,0,0,0,0,0,-1
271,124,22,325,1454,3999.538,130,19,7,0,0,0,62
272,124,23,22,1883,3905.968,97,52,52,0,45,12,-1
273,124,24,627,779,3855.0240000000003,33,0,92,0,0,0,62
274,124,25,359,3085,3765.5559999999996,81,19,0,0,0,0,59
275,124,26,1028,648,3754.698,103,4,0,190,0,11,23
276,124,27,15,1175,3642.428,141,0,0,0,0,0,-1
277,124,28,535,3343,3635.285,57,0,0,0,0,0,-1
278,124,29,627,2960,3615.27,74,72,22,0,23,0,62
279,124,30,1301,911,3604.6479999999997,106,23,34,0,0,2,62
280,124,31,379,499,3578.928,2,15,0,0,0,0,23
281,124,32,1130,1016,3510.312,152,0,0,0,0,0,-1
282,124,33,239,592,3497.3790000000013,75,3,0,0,0,44,52
283,124,34,361,913,3494.584000000001,93,0,90,0,67,0,52
284,124,35,687,2528,3450.559,91,0,32,0,0,6,3
285,124,36,268,5,3449.679,66,0,0,0,0,0,38
286,124,37,739,1849,3287.0820000000012,79,0,83,0,78,0,72
287,124,38,177,320,3266.7209999999995,111,23,72,141,0,0,52
288,124,39,890,1450,3251.0679999999998,71,0,0,0,0,0,62
289,124,40,217,194,3239.0029999999997,78,45,80,0,0,36,-1
290,124,41,856,2376,3180.075,80,0,43,0,0,29,52
291,124,42,460,1126,3175.946,126,10,14,132,0,21,-1
292,124,43,1250,3339,3155.5229999999997,85,0,0,0,0,0,-1
293,124,44,876,2421,3142.1929999999998,81,0,4,0,0,7,-1
294,124,45,500,493,3107.176,96,68,24,124,0,27,-1
295,124,46,148,1325,3059.028,82,83,28,0,87,0,62
296,124,47,915,533,3007.695,102,72,85,0,0,43,-1
297,124,48,1011,162,2953.498,99,85,0,0,0,23,52
298,124,49,159,693,2923.8379999999997,0,1,1,157,0,1,63
299,124,50,1111,1897,2899.203,90,59,96,0,0,0,-1
300,103,1,359,3010,11888.409,1,1,24,146,1,50,59
301,103,2,177,2170,10116.551,74,2,13,168,12,45,52
302,103,3,365,2389,7923.611999999999,86,12,13,35,0,9,-1
303,103,4,159,693,7145.279,152,79,1,79,34,23,63
304,103,5,1004,2724,7048.496,2,2,35,124,2,13,62
305,103,6,821,2075,6505.9230000000025,108,94,73,0,45,13,-1
306,103,7,627,2960,6257.323,97,0,8,0,34,0,62
307,103,8,1257,3438,5855.16,75,46,79,0,0,18,52
308,103,9,763,1817,5638.937,141,0,17,0,78,1,-1
309,103,10,259,1350,5538.034000000002,119,0,0,0,78,0,62
310,103,11,801,2244,5526.682,107,13,44,1,0,12,-1
311,103,12,328,831,5488.184,51,5,54,144,0,0,-1
312,103,13,876,1906,5388.071,13,0,57,116,34,23,-1
313,103,14,1200,2955,5258.016,71,39,10,128,0,35,58
314,103,15,961,524,5230.048,79,17,4,156,87,34,62
315,103,16,1071,489,5090.766,75,6,20,0,0,0,62
316,103,17,311,3136,5031.84,42,10,95,164,0,7,58
317,103,18,1043,3301,4985.833,57,42,65,150,0,21,-1
318,103,19,306,3435,4848.539000000002,86,6,4,117,78,12,47
319,103,20,890,1450,4816.125,141,0,0,0,0,0,62
320,103,21,1184,3425,4518.503,119,0,0,0,0,0,-1
321,103,22,1186,2852,4495.229,2,0,0,0,0,0,-1
322,103,23,563,1975,4353.73,42,0,0,0,0,38,58
323,103,24,727,2145,4184.7440000000015,82,25,75,171,0,6,38
324,103,25,191,246,4146.354,97,33,61,171,0,0,38
325,103,26,1245,3219,3806.344,66,0,0,0,0,0,38
326,103,27,1028,648,3609.2709999999997,122,14,0,168,0,25,23
